timestamp,pod name,cpu usage (%),memory usage (%),pod status,pod restarts,ready containers,total containers,pod event type,pod event reason,pod event age,pod event source,pod event message,node name,event reason,event age,event source,event message,memory usage (mb),active memory requests (mb),memory requests (%),active memory limits (mb)emory limits utilization (%),memory usage (cache) (mb),memory usage (swap) (mb),network receive bytes,network transmit bytes,network receive packets (p/s),network transmit packets (p/s),network receive packets dropped (p/s),network transmit packets dropped (p/s),fs reads total (mb),fs writes total (mb),fs reads/writes total (mb),fs reads bytes total (mb),fs writes bytes total (mb),fs reads/writes bytes total (mb)
2024-04-01 18:00:00,recommendation,21.65,15.31,Failed,3,1,1,Warning,Killing,5m,controller,Container failed,node2,Failed,10m,kubelet,Node not ready,324.27,37.3,54.26,34.16,20.51,4.53,9990.98,4944.32,13.11,5.79,0.03,1.28,0.5691,1.2359,0.3516,1.6757,2.2536,0.9929
2024-04-01 19:00:00,redis,2.91,39.13,Pending,0,1,1,Warning,FailedMount,10s,scheduler,Container failed,node1,Started,10m,kubelet,Volume detached,55.63,80.42,53.37,83.65,49.36,3.44,5759.28,6598.88,12.13,14.88,2.53,2.48,1.4381,2.0664,1.2232,1.631,0.5303,3.07
2024-04-01 20:00:00,frauddetection,12.6,71.74,Unknown,1,1,1,Critical,Killing,10s,kubelet,Mounting volume,node2,Started,10m,api-server,Volume detached,425.55,197.23,20.42,39.35,35.35,0.75,9376.01,2225.07,18.13,9.48,4.27,1.64,1.6324,3.0383,4.744,0.7157,2.6701,1.5615
2024-04-01 21:00:00,recommendation,27.37,13.14,Pending,3,1,2,Normal,Scheduled,1m,controller,Container failed,node1,Evicted,15m,kubelet,Resource constraint,185.64,122.39,76.41,41.74,34.03,5.77,5210.33,2825.29,7.58,1.68,1.69,1.29,3.2992,1.8827,3.8101,0.6812,2.6433,2.6433
2024-04-01 22:00:00,frauddetection,49.41,0.98,Failed,1,1,2,Normal,Scheduled,10m,scheduler,Mounting volume,node2,Failed,20m,kubelet,Node not ready,343.19,116.11,18.01,22.95,43.75,8.11,8497.48,2379.54,11.0,13.4,0.87,0.79,4.6351,0.0084,4.749,1.0624,1.8584,1.0174
2024-04-01 23:00:00,recommendation,4.13,3.84,Unknown,1,0,2,Critical,Killing,5m,scheduler,Pod scheduled,node3,Failed,15m,api-server,Node not ready,156.57,185.51,45.29,36.5,11.24,8.99,9402.57,4764.95,1.32,5.39,1.64,1.42,1.9791,2.9559,3.1325,1.6726,1.0286,0.9093
2024-04-02 00:00:00,recommendation,38.63,6.23,Unknown,2,0,1,Critical,Scheduled,10m,scheduler,Mounting volume,node2,Evicted,20m,kubelet,Node not ready,315.12,101.75,61.69,40.13,46.44,7.24,3660.28,4351.78,2.64,12.25,4.55,2.32,0.717,1.6635,0.8041,1.1912,0.0165,0.5848
2024-04-02 01:00:00,redis,9.39,28.03,Unknown,3,1,1,Warning,Killing,10m,controller,Pod scheduled,node3,Failed,15m,api-server,Node not ready,53.55,127.77,37.1,56.31,23.7,5.47,7131.86,1933.7,10.26,2.32,2.95,0.4,0.649,1.6036,4.1791,0.3318,0.3942,3.2113
2024-04-02 02:00:00,frontend,36.35,25.44,Unknown,3,1,2,Warning,BackOff,5m,controller,Container failed,node1,Started,15m,api-server,Node not ready,257.21,39.52,33.34,12.58,49.71,8.21,8327.39,4131.12,4.81,14.21,4.35,2.11,4.397,0.4085,1.1213,0.3295,1.7824,0.6363
2024-04-02 03:00:00,frauddetection,49.26,55.74,Running,2,1,1,Warning,Killing,5m,controller,Mounting volume,node1,Evicted,15m,kubelet,Resource constraint,55.33,145.04,72.87,32.28,49.21,1.52,2052.93,6138.74,15.79,8.57,2.11,1.78,1.9835,1.2123,0.5845,0.5686,2.8898,1.4514
2024-04-02 04:00:00,redis,6.16,23.37,Running,1,1,1,Normal,Killing,10m,kubelet,Container failed,node3,Evicted,20m,kubelet,Volume detached,422.35,148.65,12.51,63.6,47.24,2.79,9130.92,6937.51,12.07,4.57,1.31,2.48,2.991,3.2024,4.0882,1.5499,1.4354,3.1087
2024-04-02 05:00:00,frauddetection,35.99,46.03,Running,0,0,2,Warning,Scheduled,1m,scheduler,Mounting volume,node2,Failed,15m,api-server,Volume detached,107.22,81.39,45.69,85.5,10.51,5.77,9842.42,2586.95,7.63,3.08,3.5,0.55,3.5101,1.9274,1.0511,0.4429,1.7268,3.249
2024-04-02 06:00:00,recommendation,11.4,50.12,Unknown,3,1,1,Normal,Scheduled,10m,kubelet,Pod scheduled,node2,Started,15m,kubelet,Node not ready,221.39,180.28,38.78,83.21,7.46,7.8,6991.62,5772.19,2.19,3.13,1.33,2.99,1.2923,0.7978,4.4366,0.3466,0.0446,3.8618
2024-04-02 07:00:00,recommendation,21.31,41.99,Failed,4,0,1,Warning,Killing,5m,controller,Pod scheduled,node3,Started,15m,api-server,Volume detached,328.66,78.36,28.09,54.13,41.52,2.69,6605.89,2324.7,2.61,7.02,2.07,1.79,3.3571,3.0039,0.1182,0.0424,1.5771,0.9682
2024-04-02 08:00:00,frauddetection,31.93,38.1,Unknown,1,1,1,Critical,Scheduled,30s,scheduler,Container failed,node1,Started,10m,kubelet,Resource constraint,193.32,23.92,70.6,20.48,28.34,9.61,7688.26,4194.78,7.81,8.9,3.33,2.98,4.4189,3.7416,5.2066,0.0785,1.4614,0.0341
2024-04-02 09:00:00,recommendation,35.64,38.01,Pending,3,1,2,Warning,Killing,30s,controller,Container failed,node3,Started,5m,kubelet,Resource constraint,355.91,155.92,72.06,60.91,42.77,0.51,7048.96,6232.06,15.68,6.85,0.29,0.73,3.1046,1.7832,4.8047,0.9723,0.8726,0.0196
2024-04-02 10:00:00,frauddetection,22.18,55.07,Running,2,1,1,Critical,Scheduled,1m,kubelet,Mounting volume,node3,Evicted,15m,api-server,Volume detached,98.94,150.86,77.83,23.91,7.62,2.82,2622.83,7751.83,6.01,5.6,1.04,2.23,0.3747,3.9696,2.4629,1.1356,1.3998,2.2066
2024-04-02 11:00:00,frontend,32.92,65.08,Pending,1,0,2,Normal,Killing,10m,controller,Pod scheduled,node1,Started,5m,kubelet,Node not ready,307.8,38.54,73.43,46.63,7.75,7.2,3897.14,7002.85,18.44,10.66,0.53,1.48,4.3521,1.483,5.878,1.2795,0.5283,2.8322
2024-04-02 12:00:00,frauddetection,8.35,45.13,Failed,3,1,1,Warning,BackOff,10s,scheduler,Container failed,node1,Evicted,10m,kubelet,Resource constraint,236.32,170.27,14.91,39.81,14.64,1.82,1568.31,6358.94,7.02,5.23,0.42,2.84,1.1636,0.8383,1.8887,0.0854,1.0587,0.2476
2024-04-02 13:00:00,frontend,14.03,52.34,Running,4,0,2,Critical,Scheduled,5m,controller,Pod scheduled,node3,Evicted,5m,kubelet,Volume detached,267.23,104.47,72.49,81.4,11.62,1.97,2957.83,1101.5,15.26,6.76,2.09,1.76,3.2096,3.4234,0.6017,0.7032,2.1707,1.4752
2024-04-02 14:00:00,frauddetection,8.08,67.69,Pending,0,0,1,Normal,FailedMount,5m,kubelet,Container failed,node1,Failed,10m,kubelet,Node not ready,287.33,46.86,27.8,46.31,30.16,1.03,4588.9,6798.93,17.73,3.63,0.23,0.41,1.1117,3.492,2.9505,0.3964,0.9302,3.4075
2024-04-02 15:00:00,frauddetection,27.08,55.16,Failed,3,1,2,Normal,Killing,1m,kubelet,Container failed,node2,Evicted,10m,kubelet,Node not ready,298.49,166.75,15.47,25.08,40.04,2.9,4557.76,1499.78,5.91,5.85,1.85,0.42,2.4959,0.893,5.7886,1.0808,1.8974,2.3703
2024-04-02 16:00:00,recommendation,2.33,50.87,Pending,4,0,2,Critical,Killing,5m,scheduler,Container failed,node2,Failed,10m,api-server,Volume detached,95.22,70.55,63.65,89.39,25.7,5.96,7688.48,3236.15,13.68,1.52,2.63,1.42,1.0987,3.0616,2.1365,1.7316,1.5177,2.3639
2024-04-02 17:00:00,frauddetection,20.17,54.54,Running,3,0,2,Warning,Scheduled,10m,controller,Container failed,node2,Started,5m,api-server,Node not ready,102.0,95.51,74.27,79.41,21.46,8.32,1774.05,1136.79,8.37,11.06,3.55,0.75,0.5471,2.8977,4.7287,1.8035,1.5652,1.6491
2024-04-02 18:00:00,redis,44.12,50.5,Pending,3,0,2,Warning,BackOff,1m,kubelet,Pod scheduled,node2,Evicted,15m,kubelet,Node not ready,92.52,34.65,21.34,17.51,44.16,3.14,2020.18,6112.07,8.76,12.56,0.7,1.51,0.4676,1.3177,0.1987,0.0953,2.8261,1.1313
2024-04-02 19:00:00,frauddetection,28.45,13.07,Unknown,4,0,2,Normal,FailedMount,30s,kubelet,Container failed,node2,Started,5m,kubelet,Node not ready,394.15,157.77,61.37,57.75,9.39,3.23,4162.57,2196.18,4.16,7.58,1.1,1.54,2.4309,0.0233,5.6087,1.3134,1.7104,3.6777
2024-04-02 20:00:00,recommendation,49.48,54.43,Running,3,0,2,Warning,FailedMount,5m,kubelet,Pod scheduled,node1,Evicted,15m,kubelet,Volume detached,221.07,25.96,61.21,21.48,48.81,8.85,1713.81,5804.9,19.93,12.29,2.5,2.71,0.163,2.4913,3.2606,1.2236,1.1154,2.7115
2024-04-02 21:00:00,frauddetection,33.48,1.73,Failed,4,1,2,Normal,BackOff,10s,controller,Mounting volume,node1,Failed,10m,api-server,Node not ready,77.64,177.49,20.45,41.53,43.87,2.94,9772.59,7944.57,9.22,10.67,1.55,2.65,1.3156,3.6685,5.839,0.4049,0.2636,1.3748
2024-04-02 22:00:00,frontend,26.01,52.61,Pending,2,1,1,Critical,BackOff,10m,controller,Container failed,node2,Started,20m,api-server,Node not ready,155.52,186.57,16.42,31.94,13.03,0.66,7611.86,4178.62,14.28,8.88,4.75,1.11,4.9898,0.2924,2.0917,1.4216,1.091,0.699
2024-04-02 23:00:00,frontend,27.96,8.06,Failed,0,1,1,Warning,Scheduled,5m,controller,Mounting volume,node1,Started,5m,kubelet,Resource constraint,139.92,86.16,21.67,32.22,5.69,0.48,9305.38,2326.16,3.7,8.41,0.76,0.71,3.8406,1.8955,0.817,0.7226,0.6903,3.2614
2024-04-03 00:00:00,redis,10.72,69.33,Unknown,0,1,2,Warning,FailedMount,30s,scheduler,Container failed,node1,Failed,20m,api-server,Node not ready,378.93,67.39,38.15,72.35,39.8,1.21,3002.59,7561.23,7.41,8.87,1.52,2.7,1.0121,2.1757,0.4512,1.3271,2.3686,3.8807
2024-04-03 01:00:00,frontend,7.25,67.84,Pending,0,0,2,Warning,BackOff,5m,kubelet,Container failed,node1,Evicted,10m,kubelet,Node not ready,441.56,107.39,23.16,28.91,44.43,2.57,8792.12,7875.07,5.56,5.6,1.92,1.92,0.5549,2.5641,3.2166,0.1021,2.7497,3.0428
2024-04-03 02:00:00,frauddetection,33.95,45.76,Failed,0,1,1,Critical,Killing,30s,scheduler,Pod scheduled,node3,Evicted,15m,kubelet,Node not ready,356.48,166.62,35.81,64.78,38.73,7.32,9368.32,7510.88,16.52,12.46,2.6,1.08,0.2746,0.4577,3.0041,1.4397,2.5642,3.9918
2024-04-03 03:00:00,redis,31.97,20.01,Running,3,1,1,Normal,BackOff,5m,kubelet,Pod scheduled,node2,Evicted,5m,api-server,Resource constraint,292.06,116.23,76.66,13.8,6.86,5.11,8547.94,7846.21,19.08,6.88,0.29,2.2,4.7898,3.5423,4.0366,1.3139,2.4694,2.2603
2024-04-03 04:00:00,recommendation,18.37,70.84,Pending,1,1,1,Warning,BackOff,10m,scheduler,Container failed,node2,Failed,20m,api-server,Node not ready,137.29,172.02,19.3,52.65,13.4,0.07,6561.67,6397.4,2.45,13.22,0.35,1.39,0.5331,2.1478,1.624,0.4713,2.9436,1.7841
2024-04-03 05:00:00,redis,29.24,39.9,Pending,4,1,1,Warning,Scheduled,10s,scheduler,Container failed,node3,Failed,5m,api-server,Volume detached,57.71,37.47,70.41,54.26,6.12,6.13,9566.35,4454.18,5.48,14.16,0.78,1.46,3.3582,2.4347,5.5553,0.9809,1.2236,3.6288
2024-04-03 06:00:00,recommendation,22.65,18.42,Failed,0,1,2,Warning,BackOff,10s,kubelet,Pod scheduled,node1,Evicted,5m,kubelet,Node not ready,204.6,105.21,34.16,68.62,31.34,3.86,9233.64,4565.22,13.78,8.68,2.15,0.25,1.3213,0.0616,5.3335,0.0089,0.4257,3.5885
2024-04-03 07:00:00,redis,38.79,65.83,Pending,0,1,1,Normal,Scheduled,30s,kubelet,Mounting volume,node3,Failed,10m,kubelet,Node not ready,433.47,178.68,25.99,76.41,44.51,3.14,3738.93,6509.44,8.97,6.8,1.02,2.14,4.7888,2.3164,0.5157,1.6589,0.2274,3.1501
2024-04-03 08:00:00,recommendation,39.02,58.54,Unknown,2,0,2,Normal,Scheduled,1m,kubelet,Pod scheduled,node2,Evicted,10m,kubelet,Node not ready,160.64,94.23,49.23,49.24,28.01,9.65,2561.06,4161.4,7.84,10.58,3.23,2.9,1.7692,2.508,2.5112,1.5154,2.0584,0.783
2024-04-03 09:00:00,redis,4.95,58.78,Pending,4,0,1,Warning,BackOff,30s,scheduler,Pod scheduled,node3,Started,20m,kubelet,Volume detached,347.38,163.21,33.98,10.82,15.65,9.43,8727.76,1479.1,8.53,4.66,1.02,0.23,3.3208,2.9263,1.969,0.591,0.7467,1.9076
2024-04-03 10:00:00,recommendation,10.28,68.56,Failed,0,0,1,Critical,Killing,10s,scheduler,Container failed,node2,Evicted,5m,api-server,Volume detached,137.76,160.8,78.98,72.11,7.08,7.4,8079.68,1169.95,11.79,13.47,1.57,2.61,3.9241,1.2103,1.9848,1.4153,2.7709,0.0173
2024-04-03 11:00:00,frontend,44.55,43.62,Unknown,4,1,2,Normal,FailedMount,10m,controller,Mounting volume,node1,Started,20m,api-server,Volume detached,376.67,85.24,56.63,71.74,6.0,5.82,2510.8,6367.16,12.18,6.89,0.09,1.76,3.0189,1.0162,5.4293,1.2392,2.4067,1.064
2024-04-03 12:00:00,redis,47.16,2.24,Pending,3,0,1,Critical,BackOff,30s,scheduler,Pod scheduled,node1,Evicted,15m,api-server,Resource constraint,419.01,58.62,77.71,78.21,23.24,0.34,6739.96,7019.91,4.15,12.73,4.27,1.1,0.6188,0.5783,2.6443,0.0962,1.0115,3.6874
2024-04-03 13:00:00,frauddetection,48.66,50.98,Running,1,0,1,Critical,FailedMount,5m,kubelet,Mounting volume,node1,Evicted,5m,kubelet,Resource constraint,249.11,102.72,34.59,55.13,41.94,2.82,7683.43,6103.45,15.97,6.78,2.92,0.63,0.3577,0.5755,4.5419,1.8668,1.2762,0.0098
2024-04-03 14:00:00,frauddetection,43.86,50.39,Running,1,0,1,Critical,BackOff,10s,scheduler,Pod scheduled,node3,Started,20m,kubelet,Volume detached,183.63,99.75,31.82,66.68,41.13,7.24,2023.59,5774.87,12.95,2.83,2.27,2.89,4.6556,3.4774,1.4415,1.3821,2.8342,2.4662
2024-04-03 15:00:00,frontend,19.14,9.6,Running,1,1,1,Critical,Scheduled,30s,scheduler,Container failed,node2,Evicted,20m,api-server,Resource constraint,453.14,32.14,78.55,37.56,33.77,3.83,8710.04,6851.49,2.94,11.48,2.0,1.4,2.4049,1.1936,2.0005,1.2355,0.94,1.0231
2024-04-03 16:00:00,frontend,3.84,65.64,Pending,2,1,2,Warning,Killing,10m,kubelet,Container failed,node1,Started,20m,api-server,Node not ready,134.51,146.24,41.01,86.11,8.39,8.61,6679.33,2161.5,4.92,10.25,4.68,1.14,0.896,2.1592,0.1426,0.9748,0.9055,0.148
2024-04-03 17:00:00,redis,20.1,44.89,Unknown,0,1,2,Normal,FailedMount,1m,controller,Container failed,node2,Evicted,10m,kubelet,Node not ready,210.6,144.95,69.93,72.43,34.44,8.07,4462.19,2297.68,19.68,10.27,2.99,2.67,1.8074,2.154,3.6235,0.6002,1.0052,0.2029
2024-04-03 18:00:00,recommendation,16.86,66.53,Running,3,0,1,Normal,BackOff,30s,kubelet,Pod scheduled,node3,Started,10m,kubelet,Volume detached,348.42,112.98,45.25,41.3,27.41,1.06,1241.23,6310.14,6.91,7.76,3.74,2.28,1.216,3.0123,2.4159,1.2594,0.4977,3.4736
2024-04-03 19:00:00,redis,38.01,62.86,Failed,2,0,2,Normal,Scheduled,10m,kubelet,Container failed,node1,Started,20m,api-server,Resource constraint,233.67,25.41,64.7,42.17,35.13,8.65,6487.34,5963.56,5.47,8.62,4.48,1.75,0.916,3.9333,4.2788,1.7074,2.2431,0.8302
2024-04-03 20:00:00,redis,44.53,70.78,Running,3,0,2,Normal,BackOff,5m,scheduler,Mounting volume,node1,Evicted,5m,kubelet,Volume detached,475.54,148.83,45.87,44.59,21.23,3.55,9602.97,1590.91,9.94,14.55,1.4,0.95,3.334,1.1401,2.5633,1.4655,1.4156,3.7972
2024-04-03 21:00:00,recommendation,12.37,16.35,Unknown,0,1,1,Normal,Killing,10s,scheduler,Container failed,node3,Started,20m,api-server,Resource constraint,376.71,105.39,40.67,81.35,6.62,9.67,4750.72,5677.98,15.93,3.54,3.78,1.43,2.7816,3.4012,3.7864,1.0638,2.2957,0.5715
2024-04-03 22:00:00,frauddetection,40.15,64.7,Unknown,3,0,2,Normal,Scheduled,5m,scheduler,Container failed,node3,Started,5m,api-server,Volume detached,249.65,167.68,73.7,14.5,33.76,6.06,1460.84,1409.79,12.63,7.48,2.25,0.86,3.163,0.0894,2.3668,1.1236,2.0215,1.2205
2024-04-03 23:00:00,recommendation,4.65,8.45,Pending,3,0,1,Critical,Killing,10s,controller,Mounting volume,node2,Evicted,20m,api-server,Volume detached,184.67,178.29,78.46,86.86,14.06,0.57,5977.35,1055.95,10.98,2.24,0.63,2.28,2.5006,1.9341,1.984,0.608,0.856,0.1754
2024-04-04 00:00:00,recommendation,48.16,27.28,Failed,0,1,1,Normal,Scheduled,10s,kubelet,Container failed,node1,Started,5m,api-server,Node not ready,340.8,25.91,26.67,85.98,16.85,8.87,9815.26,2594.36,16.92,10.48,1.13,0.17,1.591,3.3349,5.8116,1.4595,2.4518,0.3784
2024-04-04 01:00:00,frauddetection,11.13,34.12,Pending,2,1,1,Critical,Killing,5m,kubelet,Pod scheduled,node3,Failed,5m,kubelet,Volume detached,285.36,161.19,41.53,16.74,16.39,5.94,1631.84,3269.92,5.4,2.02,3.56,1.05,2.4082,2.0622,4.2718,1.163,1.8065,3.6585
2024-04-04 02:00:00,recommendation,7.07,64.13,Pending,2,0,2,Critical,FailedMount,10s,scheduler,Mounting volume,node1,Failed,20m,kubelet,Resource constraint,476.72,125.03,47.98,47.56,39.03,9.66,9955.31,1998.28,16.74,13.13,0.47,0.25,1.6251,1.2275,2.3859,0.0423,0.9963,1.7419
2024-04-04 03:00:00,frauddetection,30.59,54.35,Unknown,3,1,1,Warning,Killing,10s,kubelet,Pod scheduled,node2,Evicted,20m,api-server,Node not ready,61.88,46.5,53.31,31.29,10.36,3.0,5430.45,3435.23,5.52,11.84,0.69,1.92,2.5345,1.985,1.9142,1.1534,1.6461,3.8935
2024-04-04 04:00:00,redis,49.11,24.28,Failed,4,0,2,Critical,Killing,1m,kubelet,Container failed,node2,Evicted,15m,api-server,Node not ready,265.41,174.73,79.5,10.62,23.96,3.32,3032.56,1789.2,1.52,8.47,1.59,0.29,3.0832,1.765,5.5703,1.3874,1.606,3.7486
2024-04-04 05:00:00,redis,37.16,56.43,Running,2,1,1,Critical,FailedMount,30s,scheduler,Mounting volume,node1,Evicted,20m,api-server,Resource constraint,138.89,24.29,28.08,71.06,34.65,4.39,2018.13,6725.51,14.14,7.81,3.8,2.34,0.5503,0.0685,5.7597,0.2244,2.8002,0.0709
2024-04-04 06:00:00,redis,31.8,54.62,Failed,0,0,1,Normal,BackOff,5m,kubelet,Mounting volume,node1,Evicted,20m,api-server,Volume detached,289.61,72.1,19.18,69.31,14.94,1.71,3922.3,1806.01,10.62,3.02,2.23,0.34,2.2043,0.1764,4.5655,1.8409,1.6914,2.3931
2024-04-04 07:00:00,redis,31.03,29.38,Unknown,1,1,2,Warning,Killing,5m,kubelet,Pod scheduled,node3,Evicted,15m,kubelet,Node not ready,194.75,145.02,31.4,21.13,34.58,7.2,2262.09,660.36,5.81,3.3,3.55,0.92,1.3455,0.1795,5.2921,1.256,1.1279,0.514
2024-04-04 08:00:00,recommendation,35.85,25.37,Failed,0,1,1,Critical,Killing,10m,controller,Mounting volume,node3,Failed,20m,kubelet,Resource constraint,363.43,141.91,34.31,45.52,48.04,2.94,4638.51,3485.04,11.32,2.12,2.88,0.32,1.7786,2.6652,5.615,1.0905,0.6396,3.7378
2024-04-04 09:00:00,recommendation,20.29,71.41,Failed,2,0,1,Warning,FailedMount,1m,controller,Mounting volume,node1,Evicted,20m,kubelet,Node not ready,275.24,103.05,24.48,14.06,16.74,1.08,8285.3,4564.63,5.33,8.65,2.06,0.88,4.016,2.1787,1.1518,1.1214,2.4819,0.5911
2024-04-04 10:00:00,recommendation,48.88,47.03,Unknown,2,1,2,Critical,Killing,1m,kubelet,Mounting volume,node1,Failed,15m,api-server,Node not ready,181.9,53.58,65.61,81.78,8.52,2.64,6243.28,6596.68,3.63,2.28,4.13,0.15,1.2503,2.109,5.7127,0.6635,2.9098,2.7797
2024-04-04 11:00:00,frauddetection,5.67,14.17,Failed,1,0,1,Normal,BackOff,5m,scheduler,Pod scheduled,node2,Evicted,15m,kubelet,Volume detached,70.8,23.25,16.52,71.84,43.0,4.4,3425.43,6674.59,16.53,14.3,4.32,2.31,3.7962,1.6689,4.4882,0.9521,1.9073,3.3639
